Pakistan	69/1	9.5	2	won	/ci/engine/match/1142922.html	11
India	256/8	50.0	1	lost	/ci/engine/match/1119548.html	27
England	260/2	44.3	2	won	/ci/engine/match/1119548.html	32
Zimbabwe	194	49.2	1	lost	/ci/engine/match/1142921.html	18
Pakistan	195/1	36.0	2	won	/ci/engine/match/1142921.html	21
England	322/7	50.0	1	won	/ci/engine/match/1119547.html	32
India	236	50.0	2	lost	/ci/engine/match/1119547.html	16
Pakistan	308/7	50.0	1	won	/ci/engine/match/1142920.html	29
Zimbabwe	107	35.0	2	lost	/ci/engine/match/1142920.html	8
England	268	49.5	1	lost	/ci/engine/match/1119546.html	28
India	269/2	40.1	2	won	/ci/engine/match/1119546.html	34
Australia	205	34.4	1	lost	/ci/engine/match/1119541.html	24
England	208/9	48.3	2	won	/ci/engine/match/1119541.html	19
Australia	310/8	50.0	1	lost	/ci/engine/match/1119540.html	31
England	314/4	44.4	2	won	/ci/engine/match/1119540.html	42
England	481/6	50.0	1	won	/ci/engine/match/1119539.html	62
Australia	239	37.0	2	lost	/ci/engine/match/1119539.html	22
England	342/8	50.0	1	won	/ci/engine/match/1119538.html	41
Australia	304	47.1	2	lost	/ci/engine/match/1119538.html	32
Australia	214	47.0	1	lost	/ci/engine/match/1119537.html	21
England	218/7	44.0	2	won	/ci/engine/match/1119537.html	33
Scotland	371/5	50.0	1	won	/ci/engine/match/1124639.html	53
England	365	48.5	2	lost	/ci/engine/match/1124639.html	46
West Indies	204	46.5	1	lost	/ci/engine/match/1133031.html	21
Afghanistan	206/3	40.4	2	won	/ci/engine/match/1133031.html	24
Ireland	209/7	50.0	1	lost	/ci/engine/match/1133030.html	17
Afghanistan	213/5	49.1	2	won	/ci/engine/match/1133030.html	20
U.A.E.	235/7	47.5	1	won	/ci/engine/match/1133029.html	25
Zimbabwe	226/7	40.0	2	lost	/ci/engine/match/1133029.html	15
West Indies	198	48.4	1	won	/ci/engine/match/1133028.html	15
Scotland	125/5	35.2	2	lost	/ci/engine/match/1133028.html	13
U.A.E.	177	43.0	1	lost	/ci/engine/match/1133027.html	18
Afghanistan	178/5	34.3	2	won	/ci/engine/match/1133027.html	16
Zimbabwe	289	50.0	1	lost	/ci/engine/match/1133026.html	37
West Indies	290/6	49.0	2	won	/ci/engine/match/1133026.html	30
Ireland	271/9	50.0	1	won	/ci/engine/match/1133025.html	28
Scotland	246	47.4	2	lost	/ci/engine/match/1133025.html	27
P.N.G.	200	48.2	1	won	/ci/engine/match/1133023.html	20
Hong Kong	142	35.2	2	lost	/ci/engine/match/1133023.html	19
Zimbabwe	211/9	50.0	1	won	/ci/engine/match/1133022.html	21
Ireland	104	34.2	2	lost	/ci/engine/match/1133022.html	9
Scotland	322/6	50.0	1	won	/ci/engine/match/1133019.html	33
U.A.E.	249	47.4	2	lost	/ci/engine/match/1133019.html	29
West Indies	197/8	50.0	1	lost	/ci/engine/match/1133018.html	12
Afghanistan	198/7	47.4	2	won	/ci/engine/match/1133018.html	16
Zimbabwe	210	46.4	1	tied	/ci/engine/match/1133017.html	22
Scotland	210	49.1	2	tied	/ci/engine/match/1133017.html	19
Ireland	313/6	44.0	1	won	/ci/engine/match/1133015.html	42
U.A.E.	91	29.3	2	lost	/ci/engine/match/1133015.html	6
Zimbabwe	263/9	50.0	1	won	/ci/engine/match/1133012.html	24
Hong Kong	174	46.5	2	lost	/ci/engine/match/1133012.html	14
West Indies	257/8	50.0	1	won	/ci/engine/match/1133010.html	29
Ireland	205	46.2	2	lost	/ci/engine/match/1133010.html	20
New Zealand	223	49.5	1	lost	/ci/engine/match/1115779.html	14
England	229/3	32.4	2	won	/ci/engine/match/1115779.html	29
P.N.G.	200	42.4	1	lost	/ci/engine/match/1133007.html	20
West Indies	201/4	43.0	2	won	/ci/engine/match/1133007.html	22
